"uniqueid","parentid","lctype","title","description","startdate","enddate"
"28592146002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 45","","",""
"28592147002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 46","","",""
"28592148002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 47","","",""
"28592149002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 48","","",""
"28592150002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 49","","",""
"28592151002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 50","","",""
"28613450002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","MIS Assessment - Monday","","",""
"28613451002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","MIS Assessment - Tuesday 5-7","","",""
"28613452002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","MIS Assessment - Wednesday","","",""
"28613453002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","MIS Assessment - Thursday","","",""
"28613454002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","MIS Assessment - Friday","","",""
"28614343002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","MIS Assessment - Tuesday 7-9","","",""
"28614603002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project and assessment files","","",""
"28616130002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 51","","",""
"28616131002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 5 2","","",""
"28616132002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 5 3","","",""
"28616133002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 5 4","","",""
"28616134002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Project Group # 5 5","","",""
"28617244002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Monday wk2","","",""
